"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Chromosome"	"WikiPathways"	"KEGG Pathways"	"Number of Razor Peptides"	"Abundances Grouped F1 126"	"Abundances Grouped F1 127"	"Abundances Grouped F1 128"	"Abundances Grouped F1 129"	"Abundances Grouped F1 130"	"Abundances Grouped F1 131"	"Found in Sample in S1 F1 126 Sample"	"Found in Sample in S2 F1 127 Sample"	"Found in Sample in S3 F1 128 Sample"	"Found in Sample in S4 F1 129 Sample"	"Found in Sample in S5 F1 130 Sample"	"Found in Sample in S6 F1 131 Sample"	"Modifications"
"False"	"IsMasterProtein"	"Q6KB66"	"Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2"	"5"	"2"	"146"	"1"	"1"	"452"	"50.5"	"5.67"	"244.06"	"2"	"cell death;regulation of biological process;transport"	"cytoplasm;cytoskeleton;cytosol"	"protein binding;structural molecule activity;transporter activity"	"Pf00038, Pf01496, Pf05557, Pf12128, Pf13166"	"144501"	"ENSG00000167767.13"	"KRT80"	"12"	""	""	"0"	"20.5"	"5.6"	"9.4"	"7.2"	"25.6"	"4.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1"	"17"	"8"	"115"	"7"	"1"	"646"	"70.9"	"5.52"	"238.64"	"8"	"cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	"Pf00012, Pf02463, Pf06723"	"3312"	"ENSG00000109971.13"	"HSPA8"	"11"	"Parkin-Ubiquitin Proteasomal System pathway; MAPK Signaling Pathway; Exercise-induced Circadian Regulation"	"Endocytosis; Longevity regulating pathway - multiple species; Epstein-Barr virus infection; Spliceosome; MAPK signaling pathway; Protein processing in endoplasmic reticulum; Toxoplasmosis; Measles; Influenza A; Estrogen signaling pathway; Legionellosis; Antigen processing and presentation"	"1"	"3814.7"	"6636.1"	"6130.3"	"3569.7"	"3186.7"	"4467.6"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P08779"	"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"	"27"	"12"	"109"	"7"	"1"	"473"	"51.2"	"5.05"	"222.79"	"12"	"cell death;cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;defense response;regulation of biological process;response to stimulus"	"cytoskeleton;cytosol;nucleus"	"protein binding;structural molecule activity"	"Pf00038, Pf07888, Pf13514"	"3868"	"ENSG00000186832.8"	"KRT16"	"17"	""	""	"3"	"3729.1"	"1726.6"	"12731.9"	"1676.7"	"6546.3"	"1693.7"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P21796"	"Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2"	"17"	"3"	"141"	"3"	"1"	"283"	"30.8"	"8.54"	"218.63"	"3"	"cell communication;cell death;cell differentiation;defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"membrane;mitochondrion;nucleus"	"protein binding;transporter activity"	"Pf01459"	"7416"	"ENSG00000213585.10"	"VDAC1"	"5"	""	"NOD-like receptor signaling pathway; cGMP-PKG signaling pathway; Huntington's disease; HTLV-I infection; Parkinson's disease; Influenza A; Calcium signaling pathway"	"0"	"415.3"	"5603.4"	"4634.2"	"539.5"	"6906.0"	"6533.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4"	"11"	"7"	"84"	"3"	"1"	"724"	"83.2"	"5.03"	"195.54"	"7"	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen"	"enzyme regulator activity;nucleotide binding;protein binding;RNA binding"	"Pf00183, Pf02518, Pf13589"	"3326"	"ENSG00000096384.19"	"HSP90AB1"	"6"	"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; NRF2 pathway"	"NOD-like receptor signaling pathway; Progesterone-mediated oocyte maturation; Pathways in cancer; Prostate cancer; Protein processing in endoplasmic reticulum; Estrogen signaling pathway; PI3K-Akt signaling pathway; Antigen processing and presentation"	"0"	"1017.8"	"1878.5"	"1757.5"	"1181.1"	"1111.7"	"1396.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5"	"16"	"8"	"80"	"4"	"1"	"732"	"84.6"	"5.02"	"189.19"	"8"	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen"	"catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding"	"Pf00183, Pf02518, Pf13589"	"3320"	"ENSG00000080824.18"	"HSP90AA1"	"14"	"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Aryl Hydrocarbon Receptor Pathway; VEGFA-VEGFR2 Signaling Pathway; Aryl Hydrocarbon Receptor; EBV LMP1 signaling; NRF2 pathway; Nucleotide-binding Oligomerization Domain (NOD) pathway; Constitutive Androstane Receptor Pathway; Corticotropin-releasing hormone signaling pathway; TNF alpha Signaling Pathway"	"NOD-like receptor signaling pathway; Progesterone-mediated oocyte maturation; Pathways in cancer; Prostate cancer; Protein processing in endoplasmic reticulum; Estrogen signaling pathway; PI3K-Akt signaling pathway; Antigen processing and presentation"	"4"	"3026.8"	"6012.2"	"5228.7"	"3868.3"	"3504.3"	"4632.3"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"14"	"7"	"89"	"7"	"1"	"623"	"62.0"	"5.24"	"166.74"	"7"	"cell death;cell organization and biogenesis"	"cytosol;membrane;nucleus"	"structural molecule activity"	"Pf00038, Pf13166"	"3857"	"ENSG00000171403.9"	"KRT9"	"17"	""	""	"0"	"5625.6"	"1980.3"	"2636.1"	"3217.3"	"8227.8"	"3841.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	"24"	"10"	"85"	"4"	"1"	"472"	"51.5"	"5.16"	"163.14"	"10"	"cell death;cell differentiation;cell organization and biogenesis;response to stimulus"	"cytoplasm;cytosol;nucleus"	"protein binding;structural molecule activity"	"Pf00038, Pf13514"	"3861"	"ENSG00000186847.5"	"KRT14"	"17"	"Corticotropin-releasing hormone signaling pathway"	""	"1"	"923.3"	"451.4"	"1870.0"	"498.2"	"1434.7"	"456.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P07237"	"Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3"	"11"	"6"	"79"	"6"	"1"	"508"	"57.1"	"4.87"	"151.13"	"6"	"cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus"	"endoplasmic reticulum;extracellular;membrane;organelle lumen"	"catalytic activity;metal ion binding;protein binding;RNA binding"	"Pf00085, Pf01216, Pf13098, Pf13848, Pf13899, Pf13905"	"5034"	"ENSG00000185624.14"	"P4HB"	"17"	""	"Protein processing in endoplasmic reticulum"	"0"	"2064.4"	"5333.9"	"4676.7"	"1420.6"	"5181.6"	"4423.0"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"Q04695"	"Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2"	"24"	"10"	"70"	"6"	"1"	"432"	"48.1"	"5.02"	"147.04"	"10"	"cell death;cell organization and biogenesis;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol"	"protein binding;receptor activity;signal transducer activity;structural molecule activity"	"Pf00038, Pf07888"	"3872"	"ENSG00000128422.15"	"KRT17"	"17"	""	""	"0"	"907.7"	"331.6"	"1317.1"	"340.0"	"2191.5"	"245.4"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1"	"12"	"4"	"64"	"3"	"1"	"451"	"50.1"	"5.06"	"140.16"	"4"	"cell division;cell organization and biogenesis;response to stimulus;transport"	"cytoplasm;cytoskeleton;membrane"	"catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity"	"Pf00091, Pf03953"	"10376"	"ENSG00000123416.15"	"TUBA1B"	"12"	"Parkin-Ubiquitin Proteasomal System pathway; Allograft Rejection; Pathogenic Escherichia coli infection"	"Pathogenic Escherichia coli infection; Gap junction; Phagosome; Apoptosis"	"1"	"1255.3"	"2608.1"	"2263.7"	"1269.9"	"1186.8"	"1562.2"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P26038"	"Moesin OS=Homo sapiens GN=MSN PE=1 SV=3"	"21"	"11"	"66"	"11"	"1"	"577"	"67.8"	"6.40"	"133.06"	"11"	"cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process;response to stimulus"	"cell surface;cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"protein binding;RNA binding;structural molecule activity"	"Pf00373, Pf00769, Pf09379, Pf09380"	"4478"	"ENSG00000147065.16"	"MSN"	"X"	"AGE/RAGE pathway; Glial Cell Differentiation; Regulation of Actin Cytoskeleton"	"Proteoglycans in cancer; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Measles"	"0"	"2000.4"	"3568.4"	"3279.0"	"2116.6"	"1968.8"	"2538.3"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P06576"	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3"	"14"	"6"	"64"	"6"	"1"	"529"	"56.5"	"5.40"	"118.66"	"6"	"cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;transport"	"cell surface;membrane;mitochondrion;nucleus;organelle lumen"	"catalytic activity;nucleotide binding;protein binding;transporter activity"	"Pf00006, Pf00306, Pf02874"	"506"	"ENSG00000110955.8"	"ATP5B"	"12"	"Electron Transport Chain; Oxidative phosphorylation"	"Huntington's disease; Parkinson's disease; Alzheimer's disease; Oxidative phosphorylation; Metabolic pathways"	"0"	"322.6"	"2923.5"	"697.5"	"185.0"	"2767.5"	"474.6"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P81605"	"Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2"	"26"	"3"	"63"	"3"	"1"	"110"	"11.3"	"6.54"	"115.73"	"3"	"defense response;metabolic process;response to stimulus"	"extracellular"	"catalytic activity;protein binding;RNA binding"	"Pf15291"	"117159"	"ENSG00000161634.11"	"DCD"	"12"	""	""	"0"	"21656.1"	"689.3"	"459.5"	"559.6"	"1794.6"	"364.7"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"contaminant_INT-STD1"	"BSA"	"11"	"6"	"49"	"4"	"1"	"607"	"69.2"	"6.11"	"107.80"	"6"	""	""	""	""	""	""	""	""	""	""	"2"	"4553.3"	"474.1"	"387.6"	"345.2"	"790.6"	"545.1"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P13796"	"Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6"	"18"	"9"	"64"	"9"	"1"	"627"	"70.2"	"5.43"	"106.54"	"9"	"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane"	"metal ion binding;protein binding"	"Pf00036, Pf00307, Pf13405, Pf13499"	"3936"	"ENSG00000136167.13"	"LCP1"	"13"	""	""	"0"	"1526.2"	"2781.3"	"2387.2"	"1064.1"	"1025.9"	"1330.6"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"12"	"17"	"55"	"17"	"1"	"1960"	"226.4"	"5.60"	"101.37"	"17"	"cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus"	"catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity"	"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094"	"4627"	"ENSG00000100345.20"	"MYH9"	"22"	"Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway"	"Tight junction; Salmonella infection; Regulation of actin cytoskeleton"	"0"	"776.7"	"1985.5"	"1815.7"	"1559.7"	"1648.4"	"2634.9"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P25705"	"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1"	"18"	"8"	"46"	"8"	"1"	"553"	"59.7"	"9.13"	"100.05"	"8"	"cell organization and biogenesis;metabolic process;regulation of biological process;transport"	"membrane;mitochondrion;organelle lumen"	"catalytic activity;nucleotide binding;protein binding;RNA binding;transporter activity"	"Pf00006, Pf00306, Pf02663, Pf02874, Pf05943"	"498"	"ENSG00000152234.15"	"ATP5A1"	"18"	"Electron Transport Chain; Oxidative phosphorylation"	"Huntington's disease; Parkinson's disease; Alzheimer's disease; Oxidative phosphorylation; Metabolic pathways"	"0"	"897.2"	"1482.8"	"1452.5"	"665.7"	"704.6"	"796.7"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P00338"	"L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2"	"11"	"3"	"48"	"2"	"1"	"332"	"36.7"	"8.27"	"99.01"	"3"	"metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;membrane;nucleus"	"catalytic activity;nucleotide binding;protein binding"	"Pf00056, Pf02866"	"3939"	"ENSG00000134333.13"	"LDHA"	"11"	"Photodynamic therapy-induced HIF-1 survival signaling; Amino Acid metabolism; Glycolysis and Gluconeogenesis; Cori Cycle"	"Propanoate metabolism; HIF-1 signaling pathway; Central carbon metabolism in cancer; Pyruvate metabolism; Glucagon signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways; Cysteine and methionine metabolism"	"0"	"789.6"	"1909.6"	"1786.7"	"1174.2"	"1121.5"	"1375.3"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2"	"25"	"9"	"67"	"8"	"1"	"353"	"37.4"	"8.95"	"98.80"	"9"	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;extracellular;membrane;nucleus;spliceosomal complex"	"DNA binding;protein binding;RNA binding"	"Pf00076, Pf13893, Pf14259"	"3181"	"ENSG00000122566.20"	"HNRNPA2B1"	"7"	"mRNA Processing"	""	"0"	"3435.5"	"8854.9"	"4484.9"	"2480.8"	"2023.0"	"2538.2"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	"13"	"7"	"43"	"7"	"1"	"679"	"73.6"	"6.16"	"90.30"	"7"	"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;mitochondrion;nucleus;organelle lumen"	"nucleotide binding;protein binding;RNA binding"	"Pf00012, Pf06723"	"3313"	"ENSG00000113013.12"	"HSPA9"	"5"	"Parkin-Ubiquitin Proteasomal System pathway"	"Tuberculosis; RNA degradation"	"0"	"939.5"	"1707.0"	"1586.5"	"984.1"	"925.5"	"1156.8"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P13646"	"Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4"	"13"	"6"	"40"	"2"	"1"	"458"	"49.6"	"4.96"	"82.74"	"6"	"cell death;cell organization and biogenesis;response to stimulus"	"cytoskeleton;cytosol;nucleus"	"protein binding;structural molecule activity"	"Pf00038"	"3860"	"ENSG00000171401.14"	"KRT13"	"17"	""	""	"0"	"195.7"	"59.8"	"46.6"	"44.8"	"247.8"	"36.5"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"Q12931"	"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3"	"6"	"4"	"32"	"3"	"1"	"704"	"80.1"	"8.21"	"82.07"	"4"	"metabolic process;regulation of biological process;response to stimulus"	"membrane;mitochondrion;organelle lumen"	"nucleotide binding;protein binding;RNA binding"	"Pf00183, Pf02518, Pf13589"	"10131"	"ENSG00000126602.10"	"TRAP1"	"16"	"TNF alpha Signaling Pathway; TGF-beta Signaling Pathway"	""	"0"	"164.3"	"337.0"	"291.7"	"315.4"	"247.6"	"396.8"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P07339"	"Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1"	"7"	"2"	"38"	"2"	"1"	"412"	"44.5"	"6.54"	"80.53"	"2"	"metabolic process;transport"	"extracellular;membrane;organelle lumen;vacuole"	"catalytic activity;protein binding"	"Pf00026, Pf07966, Pf14541, Pf14543"	"1509"	"ENSG00000117984.13"	"CTSD"	"11"	"Prolactin Signaling Pathway"	"Lysosome; Tuberculosis; Apoptosis; Sphingolipid signaling pathway"	"0"	"801.2"	"3491.2"	"2738.2"	"322.4"	"3060.8"	"2352.2"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3"	"5"	"19"	"61"	"19"	"1"	"4128"	"468.8"	"7.12"	"79.39"	"19"	"cell death;cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus"	"cytosol;membrane;nucleus"	"catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding"	"Pf00454, Pf02259, Pf02260, Pf08163"	"5591"	"ENSG00000253729.7"	"PRKDC"	"8"	"ATM Signaling Network in Development and Disease; miRNA Regulation of DNA Damage Response; Non-homologous end joining; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Pathways Affected in Adenoid Cystic Carcinoma; DNA Damage Response; Retinoblastoma (RB) in Cancer; Cell Cycle"	"Non-homologous end-joining; Cell cycle"	"0"	"871.0"	"2583.2"	"2184.5"	"1560.1"	"1524.3"	"1980.3"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"IsMasterProtein"	"P62241"	"40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2"	"18"	"3"	"39"	"3"	"1"	"208"	"24.2"	"10.32"	"74.61"	"3"	"cell organization and biogenesis;metabolic process;transport"	"cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus;ribosome"	"protein binding;RNA binding;structural molecule activity"	"Pf01201"	"6202"	"ENSG00000142937.11"	"RPS8"	"1"	"Cytoplasmic Ribosomal Proteins"	"Ribosome"	"0"	"677.3"	"1290.0"	"1232.0"	"1129.1"	"1447.7"	"1438.9"	"High"	"High"	"High"	"High"	"High"	"High"	""
